x,y,volcano
-1955000,-65000,5222.041525684776
-1955000,-60000,8079.794285498622
-1955000,-55000,9179.641661137552
-1955000,-50000,4762.228744586689
-1955000,-45000,1662.3166412472926
-1955000,-40000,5731.297463556368
-1955000,-35000,10626.958389669531
-1955000,-30000,15588.99350874737
-1955000,-25000,20569.423730765226
-1955000,-20000,25557.497268233594
-1955000,-15000,30549.47038191935
-1955000,-10000,35543.700069291706
-1955000,-5000,40539.35234578579
-1955000,0,45535.95900621582
-1955000,25000,35033.109237351535
-1955000,30000,30087.031073806625
-1955000,50000,10810.74571138391
-1955000,55000,6692.004097145013
-1955000,60000,4763.781568901502
-1955000,65000,7113.670700574049
-1955000,70000,11336.44595259933
-1955000,80000,20840.73892250958
-1955000,85000,25734.16201931211
-1955000,90000,30661.992610334473
-1955000,95000,35609.94926753204
-1955000,105000,45539.98110272122
-1955000,110000,50515.349893237464
-1955000,115000,55495.14637187838
-1955000,120000,60478.27681768228
-1955000,125000,65463.97988845626
-1955000,130000,70451.70941032024
-1955000,135000,75441.06345244747
-1950000,-180000,74128.51455587063
-1950000,-175000,71158.7925506042
-1950000,-120000,21263.8683078211
-1950000,-115000,17630.208802290417
-1950000,-110000,14815.411888042754
-1950000,-70000,2133.8414945387367
-1950000,-65000,1302.5965207913098
-1950000,-50000,3382.629454564998
-1950000,-45000,2002.3568680159708
-1950000,-40000,6482.382325639849
-1950000,-35000,11050.14726670047
-1950000,-30000,15880.498374288127
-1950000,-25000,20791.216958508412
-1950000,-20000,25736.339611836174
-1950000,-15000,30699.245114754332
-1950000,-10000,35672.512171359165
-1950000,-5000,40652.338169111106
-1950000,0,45636.57603957343
-1950000,5000,50623.92267116178
-1950000,25000,34652.74282203384
-1950000,30000,29653.215324649325
-1950000,50000,9659.997675466468
-1950000,55000,4670.776069350526
-1950000,60000,380.5323063882171
-1950000,65000,5296.74436198361
-1950000,70000,10293.988383333506
-1950000,105000,45291.732897254056
-1950000,110000,50291.6669522517
-1950000,115000,55291.61293393606
-1950000,120000,60291.567875086854
-1950000,125000,65291.52971738528
-1950000,130000,70291.49698815786
-1950000,135000,75291.46860591978
-1945000,-175000,73920.46846721385
-1945000,-170000,69086.2347028144
-1945000,-165000,64277.36765310445
-1945000,-120000,24690.676285034366
-1945000,-115000,21640.278704590623
-1945000,-110000,19415.813900332854
-1945000,-105000,18320.643995568455
-1945000,-100000,18555.81211945084
-1945000,-85000,17892.683156078514
-1945000,-80000,13186.60811292334
-1945000,-75000,8810.513976143258
-1945000,-70000,5600.328519275961
-1945000,-50000,6786.110228023796
-1945000,-45000,6214.381950515208
-1945000,-40000,9010.315978193508
-1945000,-35000,13181.541830411543
-1945000,-30000,17645.50193720111
-1945000,-25000,22168.63127519983
-1945000,-20000,26861.360475891164
-1945000,-15000,31648.335826955707
-1945000,-10000,36492.48737227661
-1945000,-5000,41373.736942845375
-1945000,0,46070.87984294766
-1945000,5000,50332.32941662169
-1945000,10000,49858.84047077324
-1945000,30000,29998.439110894014
-1945000,40000,20171.949263519768
-1945000,55000,6512.243783060921
-1945000,60000,4572.73584301735
-1945000,65000,7029.260778347576
-1945000,70000,11309.7790027045
-1945000,105000,45578.671098333
-1945000,110000,50556.06643213073
-1945000,115000,55537.5228749898
-1945000,120000,60518.79333592339
-1945000,125000,65501.41252550364
-1945000,130000,70486.49330784022
-1945000,135000,75473.54791472443
-1940000,-175000,75310.77650915808
-1940000,-170000,70571.84442405029
-1940000,-165000,65871.52186197278
-1940000,-160000,61218.7026929872
-1940000,-120000,28585.081693295164
-1940000,-115000,25995.750853021316
-1940000,-110000,24175.42614748204
-1940000,-105000,23305.00796851094
-1940000,-100000,23490.329146530887
-1940000,-95000,24707.645181448566
-1940000,-90000,24356.107807361506
-1940000,-85000,19923.817669408043
-1940000,-80000,15833.415093523447
-1940000,-75000,12427.210327495712
-1940000,-55000,10393.051308554292
-1940000,-50000,11430.678108795106
-1940000,-45000,11100.79515291079
-1940000,-40000,12876.136999383305
-1940000,-35000,16073.64784443431
-1940000,-30000,20023.221669523806
-1940000,-25000,24323.861833666968
-1940000,-20000,27431.144152282828
-1940000,-15000,31036.83431832764
-1940000,-10000,34987.176215055144
-1940000,-5000,39178.05399076529
-1940000,0,43540.065795808354
-1940000,5000,48026.604548971816
-1940000,10000,50561.81506918056
-1940000,15000,45661.775448289496
-1940000,40000,21851.789562642545
-1940000,105000,46346.61184045726
