x,y,sv_250,sv_500,sv_750,sv_1000
-615000,895000,270.6076066630517,803.7948,1586.338417383013,2830.4623459584473
-615000,900000,274.7824393908821,902.8763,1820.52269709892,3117.04114967538
-615000,905000,64.686973130236,326.6317,680.2866032522667,1317.1002528430856
-615000,910000,240.04002617017693,919.9279,1987.8374303697963,3656.6636266130727
-615000,915000,210.90269169456622,819.8627,1820.2976724302093,3132.195124143678
-615000,920000,286.856491778031,990.2699,2291.6925390821784,4063.9116164863663
-615000,925000,299.2148308207641,862.5364,2321.5842965633437,4193.65224814441
-615000,930000,217.39943403532166,806.6037,1808.4074548381977,3125.5355508582784
-615000,935000,219.361425618685,716.4184,1690.5013246480466,2983.0144806392127
-615000,940000,193.4441276719615,744.40216,1767.8448455981522,3066.395117299222
-615000,945000,161.19966876711547,666.7097,1439.6486100201196,2548.281802235805
-615000,950000,175.46682923248602,700.5825,1557.203355871668,2712.1676723466326
-615000,955000,93.04024941207118,397.11783,898.2097408751902,1839.0932026929406
-615000,960000,71.81295050541199,334.32666,736.9849875687485,1342.3846551161819
-615000,965000,52.89726914067924,263.1233,582.1862024119162,993.4874229817967
-615000,970000,52.69637147836123,247.70256,556.8173562841624,960.6249834283931
-615000,975000,32.49818692655862,179.34373,374.39294861244724,700.4137158271647
-615000,980000,44.80435554286379,210.8532,487.0510193120437,848.2248890839096
-615000,985000,35.32822916184379,209.60913,445.10759240621775,804.5278797207792
-615000,990000,52.419276185083746,272.6788,534.4870800709068,989.4244476824388
-615000,995000,74.57221470140527,390.64017,1244.584259593975,1375.9123736702809
-615000,1000000,36.04860342589359,210.01115,446.9193787815997,803.3961876349073
-615000,1005000,25.2805013929569,138.99911,310.9515937897908,589.3403046208798
-615000,1010000,26.73091548489988,133.37457,312.52881121208975,589.777160479116
-615000,1015000,34.50190199928863,172.2938,416.6576250021865,772.47612950334
-615000,1020000,13.86714096309494,116.81339,251.318246176311,498.9150505918798
-615000,1025000,25.18680315965522,131.39423,287.5384472610745,529.5585109704816
-615000,1030000,22.039479805572114,134.0406,278.90888740870315,526.3687285561685
-615000,1035000,17.787500922968817,124.849724,275.3127885114375,545.9391744767497
-615000,1040000,30.46693241629322,146.50818,318.35398249825596,607.6287387848639
-615000,1045000,50.10299337400886,215.00334,533.65498673819,921.9840801893215
-615000,1050000,35.408964935828344,237.91183,446.48200976329315,849.9448163881757
-615000,1055000,47.858183787332436,230.19423,534.0811494213687,932.2446710291238
-615000,1060000,146.18929942557443,478.92798,1549.2840440360928,1942.2262425266981
-615000,1065000,260.6502022095662,1025.6201,2204.1602994900454,3728.8997940052677
-615000,1070000,27.621343648582318,139.91002,311.9882131969123,613.8499253309063
-615000,1075000,25.853254148057594,136.85054,280.3132443688926,520.9762776026796
-615000,1080000,25.918086486698712,139.87585,281.03326434762255,566.7695299860072
-615000,1085000,27.38918416514649,139.39027,284.3394008695232,535.5954957766755
-615000,1090000,27.50237635302104,150.76028,338.563847693777,640.3635834227798
-615000,1095000,26.689523181988733,142.90105,300.17690006001345,584.150709528562
-615000,1100000,26.717821351372436,147.69193,301.3610068176958,585.9664935610682
-615000,1105000,15.98689940007852,126.27292,282.9984648757806,493.82796319228237
-615000,1110000,11.10906437750879,111.98181,262.409976986107,501.8405297985862
-615000,1115000,12.52114504033273,109.44868,264.2447905315398,490.88263790502924
-615000,1120000,12.452731684112521,105.79118,268.53453082220864,522.807972271708
-610000,790000,8.82399271342506,82.068184,202.7697188780092,316.5949341369204
-610000,795000,7.86596215604083,92.98407,206.65345685755935,345.72563576774303
-610000,800000,11.243341716445798,96.22181,217.42265358172676,364.2093655759886
-610000,805000,11.639415755262114,115.558136,271.7393632177801,494.19262840455804
-610000,810000,23.13942186448731,140.4709,303.04864338966223,618.134528398946
-610000,815000,25.025947130735453,100.93454,248.21776174120342,438.8793848187622
-610000,820000,34.34863395973518,185.25299,430.15635004585556,809.4704628435546
-610000,825000,433.06263024824204,1294.0688,2993.5771160483446,5436.304583606004
-610000,830000,551.3081208886318,1541.0387,3464.6598099691246,6195.3544220855065
-610000,835000,458.7589499780514,1461.2001,3279.7978419263327,5561.3490141984585
-610000,840000,380.47311218611213,1211.515,2985.9846859890536,5205.803525041074
-610000,845000,406.8067563841076,1213.173,3035.5045268461527,5191.160199721543
-610000,850000,304.621980567845,1101.865,2458.483855328796,4151.606860907992
-610000,855000,209.30853199619364,741.8403,1601.9858550479396,2820.083617598745
-610000,860000,437.9387355062603,1245.3427,3048.727099226561,5401.27951385223
-610000,865000,281.0202640313519,995.3863,2248.600896158572,3964.415073882432
-610000,870000,522.4056714227842,1512.3406,3345.544965720099,5735.437576788006
-610000,875000,376.62006594447996,1243.1361,2974.45394002329,5233.643716614964
-610000,880000,285.3097706483566,1047.2097,2303.3795100801967,4134.510966362255
-610000,885000,203.20951015355217,712.0071,1583.1824738806736,2741.0288274097893
-610000,890000,78.19255158479474,356.78784,718.7696445428692,1409.2665637823711
-610000,895000,70.36237481693483,249.40228,530.0278187829911,994.8543707550521
