x,y,h_z,group_ja
-1870000,110000,-2250,火成岩
-1870000,120000,-2250,火成岩
-1870000,130000,-2250,火成岩
-1870000,140000,-2250,付加体
-1870000,150000,-2250,火成岩
-1870000,160000,-2250,堆積岩
-1860000,-50000,-2250,堆積岩
-1860000,-40000,-2250,堆積岩
-1860000,-30000,-2250,付加体
-1860000,-20000,-2250,付加体
-1860000,-10000,-2250,付加体
-1860000,0,-2250,付加体
-1860000,10000,-2250,付加体
-1860000,20000,-2250,付加体
-1860000,30000,-2250,付加体
-1860000,40000,-2250,火成岩
-1860000,50000,-2250,火成岩
-1860000,60000,-2250,火成岩
-1860000,70000,-2250,火成岩
-1860000,80000,-2250,火成岩
-1860000,90000,-2250,火成岩
-1860000,100000,-2250,火成岩
-1860000,110000,-2250,火成岩
-1860000,120000,-2250,火成岩
-1860000,130000,-2250,堆積岩
-1860000,140000,-2250,火成岩
-1860000,150000,-2250,火成岩
-1850000,-40000,-2250,堆積岩
-1850000,-30000,-2250,堆積岩
-1850000,-20000,-2250,火成岩
-1850000,-10000,-2250,付加体
-1850000,0,-2250,付加体
-1850000,10000,-2250,付加体
-1850000,20000,-2250,火成岩
-1850000,30000,-2250,付加体
-1850000,40000,-2250,火成岩
-1850000,50000,-2250,火成岩
-1850000,60000,-2250,火成岩
-1850000,70000,-2250,火成岩
-1850000,80000,-2250,堆積岩
-1850000,90000,-2250,火成岩
-1850000,100000,-2250,火成岩
-1850000,110000,-2250,火成岩
-1850000,120000,-2250,火成岩
-1850000,130000,-2250,その他
-1850000,170000,-2250,火成岩
-1850000,180000,-2250,火成岩
-1840000,-20000,-2250,火成岩
-1840000,-10000,-2250,付加体
-1840000,0,-2250,付加体
-1840000,10000,-2250,火成岩
-1840000,20000,-2250,火成岩
-1840000,30000,-2250,付加体
-1840000,40000,-2250,火成岩
-1840000,50000,-2250,火成岩
-1840000,60000,-2250,火成岩
-1840000,70000,-2250,火成岩
-1840000,80000,-2250,火成岩
-1840000,90000,-2250,火成岩
-1840000,100000,-2250,火成岩
-1840000,110000,-2250,火成岩
-1840000,170000,-2250,付加体
-1840000,180000,-2250,堆積岩
-1840000,190000,-2250,堆積岩
-1830000,-10000,-2250,付加体
-1830000,0,-2250,付加体
-1830000,10000,-2250,付加体
-1830000,20000,-2250,火成岩
-1830000,30000,-2250,付加体
-1830000,40000,-2250,付加体
-1830000,50000,-2250,火成岩
-1830000,60000,-2250,火成岩
-1830000,70000,-2250,堆積岩
-1830000,80000,-2250,火成岩
-1830000,90000,-2250,火成岩
-1830000,100000,-2250,堆積岩
-1830000,110000,-2250,堆積岩
-1830000,160000,-2250,堆積岩
-1830000,170000,-2250,火成岩
-1830000,180000,-2250,火成岩
-1830000,190000,-2250,火成岩
-1830000,200000,-2250,火成岩
-1820000,10000,-2250,堆積岩
-1820000,20000,-2250,付加体
-1820000,30000,-2250,付加体
-1820000,40000,-2250,付加体
-1820000,50000,-2250,火成岩
-1820000,60000,-2250,堆積岩
-1820000,70000,-2250,堆積岩
-1820000,80000,-2250,火成岩
-1820000,90000,-2250,火成岩
-1820000,100000,-2250,堆積岩
-1820000,150000,-2250,堆積岩
-1820000,160000,-2250,堆積岩
-1820000,170000,-2250,火成岩
-1820000,180000,-2250,火成岩
-1820000,190000,-2250,火成岩
-1810000,10000,-2250,堆積岩
-1810000,20000,-2250,付加体
-1810000,30000,-2250,付加体
-1810000,40000,-2250,付加体
-1810000,50000,-2250,堆積岩
-1810000,60000,-2250,堆積岩
-1810000,70000,-2250,堆積岩
-1810000,90000,-2250,火成岩
-1810000,100000,-2250,火成岩
-1810000,110000,-2250,火成岩
-1810000,160000,-2250,火成岩
-1810000,170000,-2250,変成岩
-1810000,180000,-2250,付加体
-1810000,190000,-2250,火成岩
-1800000,20000,-2250,付加体
-1800000,30000,-2250,堆積岩
-1800000,40000,-2250,付加体
-1800000,50000,-2250,火成岩
-1800000,60000,-2250,変成岩
-1800000,70000,-2250,その他
-1800000,90000,-2250,火成岩
-1800000,100000,-2250,堆積岩
-1800000,110000,-2250,火成岩
-1800000,160000,-2250,火成岩
-1800000,170000,-2250,変成岩
-1800000,180000,-2250,火成岩
-1800000,190000,-2250,火成岩
-1790000,20000,-2250,付加体
-1790000,30000,-2250,付加体
-1790000,40000,-2250,付加体
-1790000,50000,-2250,付加体
-1790000,60000,-2250,変成岩
-1790000,100000,-2250,堆積岩
-1790000,150000,-2250,その他
-1790000,160000,-2250,火成岩
-1790000,170000,-2250,堆積岩
-1790000,180000,-2250,火成岩
-1790000,190000,-2250,火成岩
-1780000,150000,-2250,変成岩
-1780000,160000,-2250,変成岩
