ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
40.585509,140.715092,Q12_vas_ap,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.567223,140.701111,Q12_vas_al,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
40.67888889,140.7902778,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.584333,140.715708,Q12_vas_ap,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 大規模火砕流
43.90366667,143.535,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
40.669081,140.78394699999998,N2_vbs_ai,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,玄武岩 貫入岩
40.668551,140.784155,N2_vbs_ai,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,玄武岩 貫入岩
40.56861111,140.7047222,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.545382000000004,140.687313,Q1-21_sb,新生代 第四紀 更新世 ジェラシアン期〜前期チバニアン期,堆積岩,汽水成層ないし海成・非海成混合層
40.545,140.687061,Q1-21_sb,新生代 第四紀 更新世 ジェラシアン期〜前期チバニアン期,堆積岩,汽水成層ないし海成・非海成混合層
40.58305556,140.7191667,Q12_vas_ap,新生代 第四紀 更新世 カラブリアン期,火成岩,デイサイト・流紋岩 大規模火砕流
35.11583333,136.77694440000002,H2_or,新生代 第四紀 後期完新世,その他,盛り土・埋立地・干拓地
40.67297222,140.79383330000002,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.665,140.7875,N2_vas_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,デイサイト・流紋岩 溶岩・火砕岩
40.5425,140.6908333,Q33_vas_ap,新生代 第四紀 後期更新世後期,火成岩,デイサイト・流紋岩 大規模火砕流
40.67277901,140.794724,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
35.48166667,137.0222222,N1_vis_al,新生代 新第三紀 中新世 バーディガリアン期〜前期ランギアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
35.11722222,136.78777780000001,H2_or,新生代 第四紀 後期完新世,その他,盛り土・埋立地・干拓地
40.705189000000004,140.839494,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
40.666775,140.808808,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.666644,140.80891699999998,Q2_vas_ap,新生代 第四紀 チバニアン期,火成岩,デイサイト・流紋岩 大規模火砕流
40.704693,140.83951499999998,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
