x,y,h_z,age
-1940000,-105000,-1750,0.07035
-1940000,-100000,-1750,1.287
-1940000,-95000,-1750,0.07035
-1940000,-90000,-1750,0.07035
-1940000,-85000,-1750,0.07035
-1940000,-80000,-1750,0.00585
-1940000,-75000,-1750,79.95
-1940000,-55000,-1750,0.0021
-1940000,-50000,-1750,0.07035
-1940000,-45000,-1750,0.07035
-1940000,-40000,-1750,0.07035
-1940000,-35000,-1750,2.19
-1940000,-30000,-1750,0.4515
-1940000,-25000,-1750,0.00585
-1940000,-20000,-1750,0.00585
-1940000,-15000,-1750,0.00585
-1940000,-10000,-1750,2.19
-1940000,-5000,-1750,4.913
-1940000,0,-1750,0.00585
-1940000,5000,-1750,249.6
-1940000,10000,-1750,184.8
-1940000,15000,-1750,452.29999999999995
-1940000,40000,-1750,4.913
-1940000,105000,-1750,0.00585
-1940000,110000,-1750,0.00585
-1940000,115000,-1750,0.07035
-1940000,120000,-1750,112.75
-1940000,125000,-1750,92.05
-1940000,130000,-1750,112.75
-1940000,135000,-1750,112.75
-1940000,140000,-1750,0.00585
-1940000,145000,-1750,112.75
-1935000,-165000,-1750,0.07035
-1935000,-160000,-1750,41.91
-1935000,-155000,-1750,41.91
-1935000,-120000,-1750,13.8
-1935000,-115000,-1750,13.8
-1935000,-110000,-1750,13.8
-1935000,-105000,-1750,0.07035
-1935000,-100000,-1750,0.07035
-1935000,-95000,-1750,0.00585
-1935000,-90000,-1750,0.07035
-1935000,-85000,-1750,79.95
-1935000,-80000,-1750,79.95
-1935000,-75000,-1750,0.07035
-1935000,-70000,-1750,0.07035
-1935000,-55000,-1750,0.00585
-1935000,-50000,-1750,0.4515
-1935000,-45000,-1750,0.07035
-1935000,-40000,-1750,0.07035
-1935000,-35000,-1750,0.07035
-1935000,-30000,-1750,0.07035
-1935000,-25000,-1750,0.4515
-1935000,-20000,-1750,0.4515
-1935000,-15000,-1750,2.19
-1935000,-10000,-1750,2.19
-1935000,-5000,-1750,2.19
-1935000,0,-1750,4.913
-1935000,5000,-1750,249.6
-1935000,10000,-1750,0.00585
-1935000,15000,-1750,154.25
-1935000,40000,-1750,1.287
-1935000,100000,-1750,0.00585
-1935000,105000,-1750,0.00585
-1935000,110000,-1750,0.00585
-1935000,115000,-1750,0.00585
-1935000,120000,-1750,92.05
-1935000,125000,-1750,112.75
-1935000,130000,-1750,112.75
-1935000,135000,-1750,327.825
-1935000,140000,-1750,0.07035
-1935000,145000,-1750,0.00585
-1930000,-115000,-1750,13.8
-1930000,-110000,-1750,13.8
-1930000,-105000,-1750,0.07035
-1930000,-100000,-1750,0.07035
-1930000,-95000,-1750,0.07035
-1930000,-90000,-1750,0.07035
-1930000,-85000,-1750,0.07035
-1930000,-80000,-1750,0.07035
-1930000,-75000,-1750,0.07035
-1930000,-70000,-1750,0.07035
-1930000,-65000,-1750,0.07035
-1930000,-60000,-1750,0.07035
-1930000,-55000,-1750,0.07035
-1930000,-50000,-1750,0.07035
-1930000,-45000,-1750,0.07035
-1930000,-40000,-1750,0.07035
-1930000,-35000,-1750,0.4515
-1930000,-30000,-1750,0.00585
-1930000,-25000,-1750,1.287
-1930000,-20000,-1750,1.287
-1930000,-15000,-1750,2.19
-1930000,-10000,-1750,2.19
-1930000,-5000,-1750,2.19
-1930000,0,-1750,107.45
-1930000,5000,-1750,219.26
-1930000,10000,-1750,165.7
-1930000,15000,-1750,199.65
-1930000,20000,-1750,112.75
-1930000,25000,-1750,0.0021
-1930000,30000,-1750,0.0021
-1930000,40000,-1750,0.00585
-1930000,75000,-1750,0.07035
-1930000,80000,-1750,0.0021
-1930000,90000,-1750,0.0021
-1930000,95000,-1750,0.00585
-1930000,100000,-1750,0.00585
-1930000,105000,-1750,0.00585
-1930000,110000,-1750,0.00585
-1930000,115000,-1750,0.00585
-1930000,120000,-1750,92.05
-1930000,125000,-1750,112.75
-1930000,130000,-1750,92.05
-1930000,135000,-1750,112.75
-1930000,140000,-1750,112.75
-1930000,145000,-1750,0.0021
-1930000,150000,-1750,92.05
-1925000,-110000,-1750,13.8
-1925000,-105000,-1750,13.8
-1925000,-100000,-1750,0.00585
-1925000,-95000,-1750,0.07035
-1925000,-90000,-1750,0.07035
-1925000,-85000,-1750,0.07035
-1925000,-80000,-1750,0.07035
-1925000,-75000,-1750,0.07035
-1925000,-70000,-1750,0.07035
-1925000,-65000,-1750,0.07035
-1925000,-60000,-1750,0.07035
-1925000,-55000,-1750,0.07035
-1925000,-50000,-1750,0.07035
-1925000,-45000,-1750,0.07035
-1925000,-40000,-1750,0.07035
-1925000,-35000,-1750,0.4515
-1925000,-30000,-1750,0.07035
-1925000,-25000,-1750,0.07035
-1925000,-20000,-1750,1.287
-1925000,-15000,-1750,2.19
-1925000,-10000,-1750,0.07035
-1925000,-5000,-1750,0.07035
-1925000,0,-1750,107.45
-1925000,5000,-1750,219.26
-1925000,10000,-1750,165.7
