ido,keido,symbol,formationAge_ja,group_ja,lithology_ja
38.73955741,140.17982419999998,Q32-33_std,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
38.78615813,140.17168859999998,N3_sbs,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
38.83274963,140.1635396,N3_sbs,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,汽水成層ないし海成・非海成混合層 砂岩，砂岩泥岩互層ないし砂岩・泥岩
38.87933193,140.15537709999998,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
38.92590503,140.14720119999998,N2_vis_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
38.97246895,140.1390118,N2_vbs_al,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,火成岩,玄武岩 溶岩・火砕岩
39.01902370000001,140.1308089,N2_soi,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,堆積岩,海成層 珪質泥岩
39.0655693,140.1225924,N3_vis_al,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
39.11210577,140.1143623,Q2_vis_al,新生代 第四紀 チバニアン期,火成岩,安山岩・玄武岩質安山岩 溶岩・火砕岩
39.1586331,140.1061186,Q3_v_ad,新生代 第四紀 後期更新世,火成岩,火山岩 岩屑なだれ堆積物
39.20515132,140.09786119999998,N3_som,新生代 新第三紀 中新世 メッシニアン期〜鮮新世,堆積岩,海成層 泥岩
39.25166044,140.08959019999998,Q3_v_ad,新生代 第四紀 後期更新世,火成岩,火山岩 岩屑なだれ堆積物
39.29816048,140.0813054,Q3_v_ad,新生代 第四紀 後期更新世,火成岩,火山岩 岩屑なだれ堆積物
39.34465144,140.07300690000002,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
39.39113334,140.0646946,,,,
39.43760620000001,140.05636840000003,N2_som,新生代 新第三紀 中新世 後期ランギアン期〜トートニアン期,堆積岩,海成層 泥岩
39.48407002,140.0480284,Q32-33_ssd,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,海岸・砂丘堆積物
39.90184012,139.97233880000002,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
39.94821434,139.9638583,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
39.99457967,139.9553635,H_sad,新生代 第四紀 完新世,堆積岩,谷底平野・山間盆地・河川・海岸平野堆積物
40.04093612,139.9468544,H_ssd,新生代 第四紀 完新世,堆積岩,海岸・砂丘堆積物
