x,y,h,z,h_z,t,ido,keido
-842174.3489,825098.6587,285.0,500,-215.0,71.5,42.187103,140.101442
-832256.0463,822234.4783,246.0,500,-254.0,43.3,42.174417,140.221256
-847847.1921,821712.5739,40.0,500,-460.0,114.8,42.148047,140.04171100000002
-846242.6186,823431.084,140.0,500,-360.0,94.3,42.1661,140.057264
-850919.1429999999,822511.1206,151.0,500,-349.0,89.7,42.1511,140.00476899999998
-844635.2574,824063.2931,285.0,500,-215.0,118.0,42.174155999999996,140.07476100000002
-822466.0306,816418.7640000001,354.0,500,-146.0,71.7,42.134203,140.34455
-818154.5859999999,814438.1218,246.0,500,-254.0,99.4,42.121781,140.397806
-820013.7022,814981.2729999999,67.0,500,-433.0,111.7,42.124278000000004,140.375372
-816912.4781,813024.7946,284.0,500,-216.0,101.9,42.110433,140.414567
-816010.4372,815811.0943,228.0,500,-272.0,106.9,42.137311,140.420303
-816116.939,814051.9764,130.0,500,-370.0,140.0,42.120964,140.42203899999998
-815372.7349,814555.3549,178.0,500,-322.0,167.7,42.1266,140.429803
-780928.9816,792278.6268,313.0,500,-187.0,67.3,41.966428,140.8647
-778649.3656,788716.7469,300.0,500,-200.0,53.7,41.936483,140.896728
-782493.6274,787909.4562,658.0,500,158.0,26.0,41.924110999999996,140.85365
-778328.6622,793531.0965,153.0,500,-347.0,87.2,41.981311,140.892731
-778226.0532,789916.8640000001,291.0,500,-209.0,131.7,41.948097,140.899697
-778000.8345,791710.2390000001,211.0,500,-289.0,113.3,41.964931,140.899431
-780316.0706,791969.4368,326.0,500,-174.0,113.4,41.964361,140.872275
-782788.1765,789469.7049,635.0,500,135.0,56.8,41.938128000000006,140.847744
-778657.8775,790086.8818,345.0,500,-155.0,157.3,41.949114,140.89443899999998
-780787.4159,790887.4526,622.0,500,122.0,68.2,41.953775,140.86856699999998
-895709.0784,834737.8073,313.0,500,-187.0,49.5,42.199108,139.464586
-897423.7459,833958.4483,89.0,500,-411.0,103.0,42.189414,139.446208
-894189.8952,831202.6574,212.0,500,-288.0,78.5,42.168861,139.488706
-898850.6935,834943.7466,8.0,500,-492.0,108.0,42.196356,139.427875
-896997.4468,833920.1329,106.0,500,-394.0,97.7,42.189692,139.451208
-897371.9154,832859.9915,177.0,500,-323.0,98.4,42.179396999999994,139.44885
-892385.4384,836323.7949,142.0,500,-358.0,27.6,42.218578,139.500089
-894085.573,832455.1304,277.0,500,-223.0,60.2,42.180525,139.487592
-768617.2219,735105.2453,174.0,500,-326.0,153.3,41.453981,141.096419
-771927.0701,732310.318,499.0,500,-1.0,80.0,41.423986,141.06288899999998
-770131.3861,728433.8624,39.0,500,-461.0,74.0,41.390392,141.089436
-768150.4078,724179.2525,99.0,500,-401.0,94.4,41.353519,141.11865
-771544.4604,736402.1337,434.0,500,-66.0,72.9,41.4623,141.060903
-769501.4069,734845.5241,168.0,500,-332.0,114.9,41.450472,141.086703
-769501.7442,734835.9443,172.0,500,-328.0,120.9,41.450383,141.086714
-801718.1293,658756.4694,573.0,500,73.0,82.0,40.705189000000004,140.839494
-806598.7432,656923.1376,368.0,500,-132.0,88.3,40.681881,140.787342
-804368.3381,652771.7944,734.0,500,234.0,89.3,40.646303,140.819028
-807084.0098,655609.7855,313.0,500,-187.0,96.8,40.669081,140.78394699999998
-804947.4651,655047.6463,649.0,500,149.0,88.0,40.666644,140.80891699999998
-803274.8707,653559.6355,777.0,500,277.0,183.7,40.655019,140.83011100000002
-803487.9854,654934.2995,725.0,500,225.0,107.3,40.667483000000004,140.825547
-804076.6166,653208.5211,639.0,500,139.0,126.2,40.650728,140.821628
-812833.1326,652941.4055,254.0,500,-246.0,56.9,40.636860999999996,140.723397
-814280.2379,652995.9334,247.0,500,-253.0,52.1,40.635472,140.70701100000002
-814287.4779,647478.4675,310.0,500,-190.0,102.2,40.584333,140.715708
-811852.3565,646419.6771,561.0,500,61.0,144.9,40.577703,140.744789
-815790.2379,646320.5955,427.0,500,-73.0,98.3,40.571633,140.700642
-813666.2885,644937.1349,516.0,500,16.0,70.0,40.561592,140.726733
-817372.946,643671.1255,226.0,500,-274.0,79.2,40.545,140.687061
-810725.5621,646710.3735,591.0,500,91.0,113.3,40.581866999999995,140.757008
-809550.2835,646721.0798,637.0,500,137.0,99.7,40.583496999999994,140.770217
-809202.2297,581790.5312,1121.0,500,621.0,170.5,39.981383,140.875578
-809863.5977,576254.0533,1237.0,500,737.0,153.3,39.929083,140.876769
-809558.808,574616.0484,1157.0,500,657.0,143.9,39.914253,140.882686
-809740.7755,572851.8913,1168.0,500,668.0,93.0,39.897622,140.883383
-808201.5606,575150.5859,1041.0,500,541.0,91.9,39.920969,140.89695600000002
-805488.7096,573440.9695,738.0,500,238.0,104.7,39.908564,140.929753
-810521.5896,576457.5321,1240.0,500,740.0,95.2,39.930125,140.869136
-806304.272,574598.6595,878.0,500,378.0,109.5,39.918278,140.918906
-808319.554,582871.7739,1087.0,500,587.0,49.5,39.992567,140.883736
-808418.4635,582219.3861,1187.0,500,687.0,120.9,39.986378,140.88364199999998
-808455.4552,582370.3495,1165.0,500,665.0,110.4,39.987733,140.882997
-817467.9403,563308.1767,914.0,500,414.0,276.8,39.798908000000004,140.812322
-821667.9368,562103.9232,659.0,500,159.0,78.2,39.782242,140.767603
-822202.2494,559402.6076,717.0,500,217.0,69.1,39.756431,140.76588600000002
-819501.5179,563981.004,760.0,500,260.0,86.2,39.802517,140.788714
-820696.2688,564387.5920000001,635.0,500,135.0,84.9,39.804739,140.774825
-824540.9281,562564.0177,613.0,500,113.0,69.9,39.782761,140.735022
-823367.7396,559916.9064,483.0,500,-17.0,73.2,39.759689,140.752164
-823056.1173,557635.186,608.0,500,108.0,43.3,39.738883,140.759175
-808284.6584,563830.6918,491.0,500,-9.0,179.4,39.815633,140.913433
-804182.0654,569194.5998,826.0,500,326.0,100.7,39.870764,140.950783
-808156.5759,565763.3832,966.0,500,466.0,212.7,39.833767,140.911889
-802914.0076,563075.4226,701.0,500,201.0,79.5,39.815489,140.974211
-808314.9836,564771.238,950.0,500,450.0,135.5,39.824339,140.911653
