x,y,keido,ido,hyoukou
-1960000,-35000,130.47356240000002,31.85517162,51.2
-1960000,-30000,130.4592725,31.90159298,67.2
-1960000,-25000,130.4449623,31.94800126,82.7
-1960000,-20000,130.4306317,31.99439648,254.5
-1960000,-15000,130.41628070000002,32.04077865,194.3
-1960000,-10000,130.4019093,32.08714779,254.1
-1960000,-5000,130.3875174,32.13350389,310.2
-1960000,20000,130.315249,32.36508937,18.0
-1960000,25000,130.3007333,32.41136753,242.0
-1960000,30000,130.2861968,32.45763275,262.0
-1960000,50000,130.22784199999998,32.64256428,174.8
-1960000,55000,130.2132009,32.68876489,289.8
-1960000,70000,130.16915120000002,32.82728944,6.0
-1960000,80000,130.13967879999998,32.91957483,86.8
-1960000,85000,130.1249108,32.96569827,614.7
-1960000,90000,130.11012140000003,33.01180888,331.8
-1960000,95000,130.0953107,33.05790668,83.4
-1960000,100000,130.0804786,33.10399167,7.0
-1960000,105000,130.0656251,33.15006387,13.2
-1960000,110000,130.05075,33.19612328,5.0
-1960000,115000,130.0358534,33.24216992,182.0
-1960000,120000,130.0209352,33.28820379,672.0
-1960000,125000,130.00599540000002,33.33422491,38.3
-1960000,130000,129.99103390000002,33.38023328,4.3
-1960000,135000,129.9760508,33.42622892,80.2
-1960000,140000,129.9610458,33.47221183,2.0
-1960000,145000,129.946019,33.51818203,58.0
-1955000,-190000,130.95275320000002,30.42345204,48.0
-1955000,-185000,130.93910209999999,30.47029091,89.0
-1955000,-180000,130.9254321,30.51711636,14.2
-1955000,-155000,130.8567948,30.75104271,15.5
-1955000,-120000,130.75989209999997,31.07797926,407.7
-1955000,-115000,130.745971,31.12463132,235.4
-1955000,-65000,130.60567609999998,31.59042493,35.5
-1955000,-60000,130.5915373,31.63693184,217.5
-1955000,-55000,130.57737849999998,31.68342563,225.1
-1955000,-50000,130.5631996,31.729906300000003,48.0
-1955000,-45000,130.5490006,31.77637387,26.0
-1955000,-40000,130.5347815,31.82282835,429.0
-1955000,-35000,130.52054209999997,31.86926974,120.0
-1955000,-30000,130.5062825,31.91569807,147.5
